review,class
Make it like better with a giant pig bigger than king pig.,feature request
"These screens are small enough without crowding in more stuff""  Tuck it in with the rest of the add ons I never use and please get it out of my face!""",information giving
"Dear Rovio; If you absolutely must continue trying to squeeze dollars from your customers this way, at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item.",information giving
App crashes when new power up notice pops up.,problem discovery
It would be nice to have an update that didn  t crash the app.,information giving
App crashes with new release.,problem discovery
I have had no problems with any of the versions so far.,information giving
Please bring back the trajectory line or at least make it to where you can turn it on or off.,feature request
This is not worth buying it will crash right from the beginning.,problem discovery
I will say you should make shock so close to the other buttons because I like to use the birds you provide.,feature request
That needs to change.,information giving
"Similarly every single app that gets updated to a beautiful"" ios7 look is one I will not update.""",information giving
This should Really be fixed!,problem discovery
And you still can  t upload videos!!,problem discovery
"Is it just me, or is anyone else having the problem where the app won  t even open at all?",problem discovery
I need to save my photos.,feature request
I  ve never had any issues with it and have been a user for years.,information giving
The app doesn  t work unless you have the iOS 7 update and not all devices have that update so they should really fix this.,problem discovery
I now see that you must have IO7 or better for the app.,information giving
"Please, please give us the ability to rename files from this app.",feature request
I  ll rate 5 once you can view '.',information giving
I still cannot believe that the team at Dropbox STILL hasn?,information giving
Sez needs software update but Apple sez software is uptodate.,problem discovery
It would allow me to get work done on my phone and edit files on the go for projects.,information giving
Only thing is they need to offer better customized pricing for upgrade plans.,feature request
"Please, please FIX this video upload issue.",problem discovery
"\nI would turn off automatic uploads, but i need my regular photos to upload.",information giving
Please please please these are easy changes...it used to be this way so make it go back!!!,information giving
Please fix the syncing issues with the iPad app.,problem discovery
"Trying to automate it would be good if it worked, but it doesn  t. ,",problem discovery
Why everything is so white?,information seeking
The pictures show a white background just like the iOS7 photo app.,information giving
"U Dropbox employers improved mostly everything, but in the app it should have the ability to rename files, whereas the web version can.",feature request
Ask me if I would like to use background uploading only once and remember my preference   don  t pester me every time I open the app to turn that feature on.,feature request
"I  ve been a loyal EN fan for years but just this week it  s frozen and after reinstalling on both my iPad and iPhone, it crashes each time I open it.",problem discovery
Holidays are here and I  m a disorganized mess without EN!,information giving
"For some reason, it doesn  t quite feel user friendly to me just yet.",problem discovery
And it  s all available on iPad and iPhone.,information giving
Latest version crashes on launch on my iPad in iOS 7.,problem discovery
I need my notes!,problem discovery
Contacted Evernote support.....they are working on the fix.,information giving
240 notes I can  t see.,information giving
It crashes all the time and the only way I can resolve is uninstall/reinstall the app.,problem discovery
The new version crashes on startup on my iPhone and iPad.,problem discovery
Deleting app and reinstalling does not work either.,problem discovery
The latest version crashes on launch for my iPhone 5s.,problem discovery
This is the third update in 3 months that has crashed upon installation for me.,problem discovery
Just crashes.,problem discovery
Got the latest update and now it will not open on my phone.,information giving
Please fix this ASAP.,information giving
"Now, it crashes when loading.",problem discovery
Please fix it!,information giving
"The latest interface is substandard from a useability standpoint besides being ugly, and the latest version will not launch on my iPhone 5.",information giving
Do not update.,information giving
Latest update crashes every time on startup on 5S.,problem discovery
I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5.,problem discovery
"Please fix it or at least let us know you are working on this ,",information giving
Latest update crashes!,problem discovery
"If you are having problems with the latest Evernote update here  s the fix:\n\nIf you installed the latest update &amp; Evernote is still crashing:\n\nGo to Settings, Privacy, Contacts look for Evernote &amp; select OFF.",information giving
Just crashes shortly upon launch.,problem discovery
"Evernote please fix ASAP ,",information giving
I will not use a note application I can  t trust not to lose my information.,information giving
"Since IOS 7,2, it continues to crash upon opening.",problem discovery
"It let me down AT THE HOSPITAL where I needed Medication List, Healthcare Power of Attorney and Living Will.",problem discovery
"Epic FAIL ,",problem discovery
"Don  t upgrade, newest version has a connectivity problem with wifi and won  t open.",problem discovery
"Even after clean install this app crashes over and over ;(\nGuys, please test updates before releasing them.",problem discovery
How could this app fail so completely?,information seeking
"They made it so complicated n difficult to use (it was a lot more easier few updates ago), I have no idea how to add a note.",information seeking
It won  t remain open for more than 10 seconds before it crashes.,problem discovery
\n\nDeletion and reinstallation of the app has yet to resolve the issue.,problem discovery
App keeps freezing and then it crashes.,problem discovery
But upon latest upgrade crashes on open.,problem discovery
Do not upgrade on iPad.,information giving
Very disappointed I can  t access my info as premium user.,problem discovery
The newest update crashes repeatedly!,problem discovery
Do not update!,information giving
Now I can  t access any of my notes.,problem discovery
"After the latest upgrades, there were issues and now it crashes and I cannot access anything.",problem discovery
Please fix it!,information giving
I have tried to delete and reinstall but that didn  t fix the problem.,information giving
New version crashes every time on iPhone 5.,problem discovery
Please get a fix out soon.,feature request
The new version did not crash in my hand because I deleted it in 5 min and went back to the old version by syncing with iTunes library on my PC.,information giving
\nThe biggest problem for the new version is   people like me having 30 notebooks and 80 tags have big trouble switching between notes.,problem discovery
You have to tap several times between each switch.,problem discovery
"\n\nThe second problem is the ugly interface, probably for matching the ugly icons of iOS 7?",problem discovery
It crashes.,problem discovery
"mwingerski ,  If this development team focus on making the App WORK rather than always adding new features I might give this five stars \nNew features are totally worthless if I can  t even open the app after it updates\nDon  t bother sending a support request from within the app because no one ever reads it even if you are a premium subscriber ,",problem discovery
'Unable to sync' this is a past problem.,problem discovery
\nThought I resolved problem when I uninstalled and reinstalled app on my iPhone.,information giving
Recent update causes Evernote on iOS to fail.,problem discovery
"Whit screen of death...can  t even use ,",problem discovery
"I don  t have a problem paying for Premium, but not when it includes something so basic and essential that it  s a joke to have to pay for.",problem discovery
Where is your QA?,information seeking
Update crashes all the time.,problem discovery
Once again Evernote has launched an update that crashes on both my iPad and iPhone 5S.,problem discovery
I even have the Premium version and bought several books on how to use the tool.,information giving
I think the power just takes a while to understand for each user.,information giving
"Extending the brand into notebooks, backpacks, coffee mugs and T shirts works for Starbucks because the coffee tastes good and is reliably available.",information giving
Do not update.,information giving
The last update crashes upon opening on iPad and iPhone!,problem discovery
It tries to open for a few seconds then crashes to home screen.,problem discovery
I tried uninstalling rebooting reinstall but the same result occurs.,problem discovery
Please fix this ASAP!,problem discovery
New version crashes on both iPad 2 and iPhone 4S.,problem discovery
Please fix app.,problem discovery
Updates crashes 5s\nClean install same\n\nEvernote help no help\nEvernote you.,problem discovery
I like it and it  s available in all platforms.,information giving
"I love Evernote and have become very reliant on it, one of the apps I can  t do without however I am without it now because it crashes on open and will not open on iPhone.",problem discovery
Tried to delete and reinstall but it still crashes.,problem discovery
"Sclathos ,  Evernote is not working after upgrade.",problem discovery
It will open but then it crashes and sometimes re opens on its own.,problem discovery
You can  t open any notes when it does load.,problem discovery
"When I try to take a photo as a note, the app crashes.",problem discovery
7.2 completely crashes on startup on iphone 5 and ipad 3.,problem discovery
"App crashes on update, even after reboot and reinstall.",problem discovery
Please address issue.,problem discovery
"One of my all time favorite apps, however the latest update makes it unable as it freezes and crashes.",problem discovery
"It  s a great program,  but since the last update last night, it just crashes every time I open it.",problem discovery
"\n\nI uninstalled it, reinstalled it, still crashes.",problem discovery
"I uninstalled it, did a clean boot, installed again, still crashes, Evernote, please fix this ASAP.",problem discovery
You must get this app one of the best.,information giving
"Probably the best app available so easy to use and it makes a lot of fun\nLove using it on my iPhone too ,",information giving
"Also has practical uses...show pictures to hair stylist, pin recipes so you know what you need at the store, etc ,",information giving
"I love this app, i think it is the best out there i recommend this to anyone who loves to kill time on their computer!",information giving
"Only complaint is you can  t change then orientation, which is especially bothersome for videos.",problem discovery
This is a little inconvenient and could be improved.,feature request
I do not feel the need to be notified when someone creates a new board.,information giving
I haven  t had any problems with this app.,information giving
"It is so much fun and gives you so many ideas of how to approach life ,",information giving
There are also great cleaning ideas and personal ideas like how to make your own facial scrub!,information giving
My only problem with Pinterest is I lose track of time when I  m on it.,problem discovery
It would be nice if it would let you start typing the name of the board and it would pull it up.,feature request
Thank you for adding more secret boards!,information giving
"I have lots of recipes on here and when I  m trying to find that recipe I made a year ago so I can make dinner, it  s frustrating that I can  t search for it and find it quickly.",information giving
Some minor problems happens often but still love this app!,problem discovery
You can use it for anything and it  s so easy to use.,information giving
"If there is a way to do this, it isn  t intuitive.",problem discovery
